"LL","type","mixture","distribution","BIC","sample"
-1229164.49169846,"fixed","diploid","normal",2458337.82267361,"MLG013"
-394435.858788818,"fixed","triploid","normal",788889.396131017,"MLG013"
-136706.145671068,"fixed","tetraploid","normal",273438.809172209,"MLG013"
-91326.6146060895,"fixed","pentaploid","normal",182688.586318941,"MLG013"
-56214.9802510601,"fixed","hexaploid","normal",112474.156885573,"MLG013"
1643.11724242574,"fixed_2","diploid","normal",-3268.55593147031,"MLG013"
1620.73819080753,"fixed_2","triploid","normal",-3206.11927485272,"MLG013"
2207.64574333223,"fixed_2","tetraploid","normal",-4362.25582652095,"MLG013"
2381.70813168571,"fixed_2","pentaploid","normal",-4692.70204984674,"MLG013"
2389.34496790489,"fixed_2","hexaploid","normal",-4690.29716890393,"MLG013"
1643.11724242574,"fixed_3","diploid","normal",-3277.3952081609,"MLG013"
1620.67573558218,"fixed_3","triploid","normal",-3223.67291778319,"MLG013"
1818.62180521716,"fixed_3","tetraploid","normal",-3610.72578036257,"MLG013"
1692.55877331605,"fixed_3","pentaploid","normal",-3349.76043986977,"MLG013"
1545.66364265415,"fixed_3","hexaploid","normal",-3047.13090185537,"MLG013"
2552.47225223122,"fixed","diploid","normal-uniform",-5087.26595108126,"MLG013"
2461.04756485378,"fixed","triploid","normal-uniform",-4895.57729963581,"MLG013"
2552.4615374404,"fixed","tetraploid","normal-uniform",-5069.56596811846,"MLG013"
2480.96958467469,"fixed","pentaploid","normal-uniform",-4917.74278589645,"MLG013"
2553.7678848192,"fixed","hexaploid","normal-uniform",-5054.50010949488,"MLG013"
2677.13026616394,"fixed_2","diploid","normal-uniform",-5327.74270225612,"MLG013"
2461.04863768715,"fixed_2","triploid","normal-uniform",-4877.90089192138,"MLG013"
2677.0671775548,"fixed_2","tetraploid","normal-uniform",-5292.2594182755,"MLG013"
6452.88662567673,"fixed_2","pentaploid","normal-uniform",-12826.2197611382,"MLG013"
2691.48610732371,"fixed_2","hexaploid","normal-uniform",-5285.74017105098,"MLG013"
1845.5742086214,"fixed_3","diploid","normal-uniform",-3682.3091405522,"MLG013"
1735.50420003155,"fixed_3","triploid","normal-uniform",-3453.32984668193,"MLG013"
1971.35444642181,"fixed_3","tetraploid","normal-uniform",-3916.19106277186,"MLG013"
1804.16065792631,"fixed_3","pentaploid","normal-uniform",-3572.96420909028,"MLG013"
1685.3139135117,"fixed_3","hexaploid","normal-uniform",-3326.43144357047,"MLG013"
-3986.41855016406,"fixed","diploid","beta",7972.83710032811,"MLG013"
1498.3485763351,"fixed","triploid","beta",-2979.01859928903,"MLG013"
2020.64120273936,"fixed","tetraploid","beta",-4014.76457540696,"MLG013"
1607.27251881491,"fixed","pentaploid","beta",-3179.18793086749,"MLG013"
1883.40726751571,"fixed","hexaploid","beta",-3722.6181515785,"MLG013"
1871.70252092354,"fixed_2","diploid","beta",-3725.7264884659,"MLG013"
1765.71439781363,"fixed_2","triploid","beta",-3496.07168886492,"MLG013"
2238.72915454085,"fixed_2","tetraploid","beta",-4424.42264893819,"MLG013"
2429.14877478694,"fixed_2","pentaploid","beta",-4787.5833360492,"MLG013"
2469.29609421183,"fixed_2","hexaploid","beta",-4850.1994215178,"MLG013"
1871.70252092354,"fixed_3","diploid","beta",-3734.56576515649,"MLG013"
1765.66041584173,"fixed_3","triploid","beta",-3513.64227830229,"MLG013"
1917.43634702357,"fixed_3","tetraploid","beta",-3808.35486397539,"MLG013"
1742.71482109398,"fixed_3","pentaploid","beta",-3450.07253542562,"MLG013"
1555.95216868288,"fixed_3","hexaploid","beta",-3067.70795391283,"MLG013"
2619.65445917273,"fixed","diploid","beta-uniform",-5221.63036496429,"MLG013"
2399.80927665613,"fixed","triploid","beta-uniform",-4773.10072324051,"MLG013"
2619.64815888095,"fixed","tetraploid","beta-uniform",-5203.93921099955,"MLG013"
2517.65195467844,"fixed","pentaploid","beta-uniform",-4991.10752590395,"MLG013"
2619.64556113231,"fixed","hexaploid","beta-uniform",-5186.2554621211,"MLG013"
2651.60664623635,"fixed_2","diploid","beta-uniform",-5276.69546240095,"MLG013"
2405.66291782948,"fixed_2","triploid","beta-uniform",-4767.12945220603,"MLG013"
2669.95260081073,"fixed_2","tetraploid","beta-uniform",-5278.03026478737,"MLG013"
2515.17422482714,"fixed_2","pentaploid","beta-uniform",-4950.79495943901,"MLG013"
2691.04485483604,"fixed_2","hexaploid","beta-uniform",-5284.85766607564,"MLG013"
2042.48868605279,"fixed_3","diploid","beta-uniform",-4076.13809541499,"MLG013"
1852.04197733614,"fixed_3","triploid","beta-uniform",-3686.40540129112,"MLG013"
2071.25394496367,"fixed_3","tetraploid","beta-uniform",-4115.99005985558,"MLG013"
1849.7174814052,"fixed_3","pentaploid","beta-uniform",-3664.07785604807,"MLG013"
1699.00888106919,"fixed_3","hexaploid","beta-uniform",-3353.82137868545,"MLG013"
-27367.4247669389,"fixed","diploid","beta-binomial",54734.8495338777,"MLG013"
-26386.2014554452,"fixed","triploid","beta-binomial",52790.0814642716,"MLG013"
-25997.3716028012,"fixed","tetraploid","beta-binomial",52021.2610356741,"MLG013"
-26074.4940203237,"fixed","pentaploid","beta-binomial",52184.3451474098,"MLG013"
-25889.4218272623,"fixed","hexaploid","beta-binomial",51823.0400379775,"MLG013"
-25931.9918364648,"fixed_2","diploid","beta-binomial",51881.6622263107,"MLG013"
-26358.5741468194,"fixed_2","triploid","beta-binomial",52752.5054004012,"MLG013"
-25708.4484969713,"fixed_2","tetraploid","beta-binomial",51469.9326540861,"MLG013"
-25822.1543432644,"fixed_2","pentaploid","beta-binomial",51715.0229000536,"MLG013"
-25736.6629276517,"fixed_2","hexaploid","beta-binomial",51561.7186222092,"MLG013"
-25931.9918364648,"fixed_3","diploid","beta-binomial",51872.8229496201,"MLG013"
-26358.5876124126,"fixed_3","triploid","beta-binomial",52734.8537782064,"MLG013"
-26248.5017112464,"fixed_3","tetraploid","beta-binomial",52523.5212525646,"MLG013"
-26695.2724560122,"fixed_3","pentaploid","beta-binomial",53425.9020187867,"MLG013"
-26782.9645281004,"fixed_3","hexaploid","beta-binomial",53610.1254396537,"MLG013"
-26452.6108993217,"fixed","diploid","beta-binomial-uniform",52922.9003520245,"MLG013"
-26386.2138047534,"fixed","triploid","beta-binomial-uniform",52798.9454395785,"MLG013"
-25997.3903732453,"fixed","tetraploid","beta-binomial-uniform",52030.137853253,"MLG013"
-26074.5419398455,"fixed","pentaploid","beta-binomial-uniform",52193.280263144,"MLG013"
-25889.6149086391,"fixed","hexaploid","beta-binomial-uniform",51832.2654774216,"MLG013"
-25932.000239415,"fixed_2","diploid","beta-binomial-uniform",51890.5183089017,"MLG013"
-26358.5948541986,"fixed_2","triploid","beta-binomial-uniform",52761.3860918501,"MLG013"
-25708.5885195751,"fixed_2","tetraploid","beta-binomial-uniform",51479.0519759842,"MLG013"
-25822.1953056315,"fixed_2","pentaploid","beta-binomial-uniform",51723.9441014783,"MLG013"
-25736.4931142501,"fixed_2","hexaploid","beta-binomial-uniform",51570.2182720967,"MLG013"
-26038.0574856761,"fixed_3","diploid","beta-binomial-uniform",52084.9542480427,"MLG013"
-26489.4116509921,"fixed_3","triploid","beta-binomial-uniform",52996.5018553653,"MLG013"
-26312.9662085648,"fixed_3","tetraploid","beta-binomial-uniform",52652.4502472014,"MLG013"
-26799.2151461064,"fixed_3","pentaploid","beta-binomial-uniform",53633.7873989752,"MLG013"
-26873.0574709884,"fixed_3","hexaploid","beta-binomial-uniform",53790.3113254298,"MLG013"
